processed_tweet,final_class,tweetid
 Tramidol is mostly for headaches/migraines. So yeah it isn’t overly strong. Oh I was like you. I tried absolutely everything before opioids. So I’m definitely with you to go a route before that.,0,1
 noted.,0,2
Grizz fans... time to throw up the prayer circle that the pelicans don't get MDA and rebirth 7 seconds or less,0,3
Tips to eliminate access tracking and control headaches.  ,0,4
Playlist Ordinary Man - Ozzy Osbourne by _CaviarMusic_     _goodspeed …,0,5
  I’m sure Dave is a beauty. He was just the guy I poked at to make a small point about so… ,0,6
  If he's alone in his own house then he's free to cough and touch his face ; so not seeing the issue?,1,7
 This story makes me nauseous. That young man was brought up racist; and nothing really shows he's changed.,0,8
As pandemic fatigue increases; public health reminds everyone that no single public health measure is perfect at preventing…,0,9
had my playlist on shuffle and i had chills listening to who will survive in america without lotw first,0,10
Once Again: 1) Vaccines save lives. 2) Homeopathy is a scam. 3) Astrology is a hoax. 4) Magic isn't real. 5) Psychics are fra…,0,11
The sneering condescension from the punditry for anything “blue collar” is nauseating. ,0,12
"Heidi knows to cover her mouth when she coughs, put her dirty dishes in the dishwasher after supper, and says excuse me please when you are in her way. She also critiqued my muffin making techniques because I wasn’t using a masher for the bananas. She’s so smart.",0,13
If this doesn’t remind you of milk; you’re not from my generation. milkbags ,0,14
 We’ve been screening outpatients in Tayside for several weeks for loss of smell or taste as well as other symptoms…,0,15
  Cool! Thanks! FanchiseFatigue is a lot of fun.  My 1st warp five was 92. We did a commentary… ,0,16
 Oh absolutely,0,17
 Diarrhea green!!just like the <U+0001F4A9> coming out if his and her mouth all the time!!!,0,18
  Editing headache later? I had a headache all of december when i wrote that 22k. Y… ,0,19
 Notdontsayanythingdirtydontsayanuthingdirty...  *Cough*  But really; your big heart <U+0001F496>,0,20
First ever Lacrosse game to be played in La Ronge April 25 hosted by JRMCC and the Lac La Ronge Indian band. Let’s go Pred…,0,21
 we can hang.,0,22
 _rizamae She was playing around but still felt the chills.  MorissetteAmon AsiasPhoenix,0,23
Dear; 3M Canada President Penny Wise (really!); don’t be a clown; make and keep masks in Canada please.  ,0,24
"Shahab on masks: Says on a solitary walk, you don't need one. Grocery shopping, if you cough into your mask you prevent droplets from getting on items, etc. Still don't touch your eyes, nose and mouth and practice hand hygiene. Medical grade masks reserved for healthcare workers.",0,25
Don’t forget that weeks have days; and days have names.,0,26
" I feel you! When I sniffle or kids cough, we all look at each other like  <U+0001F440> Keep your body moving, make your teas strong, include fresh fruits &amp; greens &amp; love on one another <U+2600><U+FE0F><U+0001F33F> Allergies? Strengthen adrenals with nettles, licorice root &amp; clear congestion with peppermint",0,27
Don’t be goofy. You keep Doritos; Miss Vikies; and All Dressed. ,0,28
 Fake cough cough cough. Hellooo...,0,29
This happened earlier...I thought I was going to die trying to hold my cough in at the store <U+0001F602><U+0001F923> ,0,30
I have never needed to cough as much as I do now when I go out...Shit be blowing me <U+0001F606><U+0001F606>,0,31
 Years and years of experience.,0,32
 Dude. I’m so excited; anxious and nauseated all at once and I love it !,0,33
More food choices! 3-4-8. Duh. ,0,34
Running the country from a hospital bed? With a 'high fever'? Have you ever had a high fever as an adult?? Brutal w… ,0,35
_Kathy_Gaynor Boogie Fever!! <U+0001F602>,0,36
" It might be the seasonal flu. There must be extreme tiredness with a hallmark fever, and a rapid decrease of lung function. Covid essentially is a bad case of pneumonia in varying degrees. Trust your medical professionals. Treat symptomatically.",1,37
Shovelled; worked; stretched; feel decent. Full workout tomorrow ! That weird fatigue is gone,0,38
"I don’t know about you but I hit an absolute wall this wknd. Combination of fatigue &amp; anxiety (if that makes sense). I think the adrenaline subsided, I was left with an empty gas tank

Sharing to remind you to pause and take care of your self through this

Any one else feel this?",0,39
Running the country from a hospital bed? With a 'high fever'? Have you ever had a high fever as an adult?? Brutal would be…,0,40
_docs   Now all you need to is stop the pigs in NB from coughing on other people. Bunch frea… ,0,41
monday motivation<U+0001F607><U+0001F5A4> ,0,42
